Conjunction;RefDevice;ClOrder;Choice;Frequency
когда;pr;sm;pr;99
если;np;ms;pr;30
хотя;pr;sm;pr;110
из-за того что;np;ms;pr;43
когда;pr;ms;pr;4
хотя;pr;ms;pr;15
когда;np;ms;pr;31
если;pr;sm;pr;107
из-за того что;pr;sm;pr;120
хотя;np;ms;pr;49
если;pr;ms;pr;2
из-за того что;pr;ms;pr;18
когда;pr;sm;no;53
если;np;ms;no;159
хотя;pr;sm;no;15
из-за того что;np;ms;no;144
когда;pr;ms;no;185
хотя;pr;ms;no;174
когда;np;ms;no;155
если;pr;sm;no;48
из-за того что;pr;sm;no;32
хотя;np;ms;no;136
если;pr;ms;no;182
из-за того что;pr;ms;no;165
когда;pr;sm;np;24
если;np;ms;np;0
хотя;pr;sm;np;68
из-за того что;np;ms;np;0
когда;pr;ms;np;0
хотя;pr;ms;np;0
когда;np;ms;np;0
если;pr;sm;np;26
из-за того что;pr;sm;np;30
хотя;np;ms;np;0
если;pr;ms;np;2
из-за того что;pr;ms;np;3
когда;pr;sm;no/pr;1
если;np;ms;no/pr;0
хотя;pr;sm;no/pr;0
из-за того что;np;ms;no/pr;2
когда;pr;ms;no/pr;0
хотя;pr;ms;no/pr;0
когда;np;ms;no/pr;2
если;pr;sm;no/pr;0
из-за того что;pr;sm;no/pr;0
хотя;np;ms;no/pr;2
если;pr;ms;no/pr;0
из-за того что;pr;ms;no/pr;2
когда;pr;sm;pr?;2
если;np;ms;pr?;0
хотя;pr;sm;pr?;2
из-за того что;np;ms;pr?;0
когда;pr;ms;pr?;0
хотя;pr;ms;pr?;0
когда;np;ms;pr?;0
если;pr;sm;pr?;2
из-за того что;pr;sm;pr?;0
хотя;np;ms;pr?;0
если;pr;ms;pr?;0
из-за того что;pr;ms;pr?;0
когда;pr;sm;np/pr;3
если;np;ms;np/pr;0
хотя;pr;sm;np/pr;1
из-за того что;np;ms;np/pr;0
когда;pr;ms;np/pr;0
хотя;pr;ms;np/pr;0
когда;np;ms;np/pr;0
если;pr;sm;np/pr;1
из-за того что;pr;sm;np/pr;1
хотя;np;ms;np/pr;0
если;pr;ms;np/pr;0
из-за того что;pr;ms;np/pr;0
когда;pr;sm;other;4
если;np;ms;other;0
хотя;pr;sm;other;0
из-за того что;np;ms;other;0
когда;pr;ms;other;0
хотя;pr;ms;other;0
когда;np;ms;other;0
если;pr;sm;other;2
из-за того что;pr;sm;other;5
хотя;np;ms;other;1
если;pr;ms;other;3
из-за того что;pr;ms;other;1
когда;pr;sm;pr/np;0
если;np;ms;pr/np;0
хотя;pr;sm;pr/np;2
из-за того что;np;ms;pr/np;0
когда;pr;ms;pr/np;0
хотя;pr;ms;pr/np;0
когда;np;ms;pr/np;0
если;pr;sm;pr/np;0
из-за того что;pr;sm;pr/np;0
хотя;np;ms;pr/np;0
если;pr;ms;pr/np;0
из-за того что;pr;ms;pr/np;0
когда;pr;sm;no?;1
если;np;ms;no?;0
хотя;pr;sm;no?;0
из-за того что;np;ms;no?;0
когда;pr;ms;no?;0
хотя;pr;ms;no?;0
когда;np;ms;no?;0
если;pr;sm;no?;1
из-за того что;pr;sm;no?;0
хотя;np;ms;no?;0
если;pr;ms;no?;0
из-за того что;pr;ms;no?;0
когда;pr;sm;np?;0
если;np;ms;np?;0
хотя;pr;sm;np?;0
из-за того что;np;ms;np?;0
когда;pr;ms;np?;0
хотя;pr;ms;np?;0
когда;np;ms;np?;0
если;pr;sm;np?;0
из-за того что;pr;sm;np?;1
хотя;np;ms;np?;0
если;pr;ms;np?;0
из-за того что;pr;ms;np?;0
когда;pr;sm;no/np;1
если;np;ms;no/np;0
хотя;pr;sm;no/np;0
из-за того что;np;ms;no/np;0
когда;pr;ms;no/np;0
хотя;pr;ms;no/np;0
когда;np;ms;no/np;0
если;pr;sm;no/np;0
из-за того что;pr;sm;no/np;0
хотя;np;ms;no/np;0
если;pr;ms;no/np;0
из-за того что;pr;ms;no/np;0
когда;pr;sm;pr/no;1
если;np;ms;pr/no;0
хотя;pr;sm;pr/no;0
из-за того что;np;ms;pr/no;0
когда;pr;ms;pr/no;0
хотя;pr;ms;pr/no;0
когда;np;ms;pr/no;1
если;pr;sm;pr/no;1
из-за того что;pr;sm;pr/no;0
хотя;np;ms;pr/no;1
если;pr;ms;pr/no;0
из-за того что;pr;ms;pr/no;0
когда;pr;sm;?;0
если;np;ms;?;0
хотя;pr;sm;?;0
из-за того что;np;ms;?;0
когда;pr;ms;?;0
хотя;pr;ms;?;0
когда;np;ms;?;0
если;pr;sm;?;1
из-за того что;pr;sm;?;0
хотя;np;ms;?;0
если;pr;ms;?;0
из-за того что;pr;ms;?;0
